Msg_id: 16437526954  [Distress: , LIWC Sad: ]
Msg_id: 16083156899  [Distress: , depressive_feelings: ]
Msg_id: 15381292114  [Distress: , LIWC Sad: ]
Msg_id: 15764028139  [Distress: , depressive_feelings: ]
Msg_id: 16402790191  [Distress: , LIWC Sad: ]
Msg_id: 15581479414  [Distress: , depressive_feelings: ]
Msg_id: 14597017657  [Distress: , LIWC Sad: ]
Msg_id: 15190805203  [Distress: , LIWC Sad: ]
Msg_id: 15282262570  [Distress: , LIWC Sad: ]
Msg_id: 16354282058  [Distress: , LIWC Sad: ]
Msg_id: 14770070059  [Distress: , depressive_feelings: ]
Msg_id: 14523285035  [Distress: , LIWC Sad: ]
Msg_id: 16420278749  [Distress: , LIWC Sad: ]
Msg_id: 14960286384  [Distress: , LIWC Sad: ]
Msg_id: 16176450759  [Distress: , gun_ownership: ]
Msg_id: 16173002083  [Distress: , LIWC Sad: ]
Msg_id: 16086596765  [Distress: , LIWC Sad: ]
Msg_id: 15023706740  [Distress: , LIWC Sad: ]
Msg_id: 15032416019  [Distress: , depressive_feelings: ]
Msg_id: 14660942093  [Distress: , LIWC Sad: ]
Msg_id: 15458872598  [Distress: , LIWC Sad: ]
Msg_id: 15040440307  [Distress: , LIWC Sad: ]
Msg_id: 15450348735  [Distress: , LIWC Sad: ]
Msg_id: 15479838761  [Distress: , LIWC Sad: ]
Msg_id: 14938898131  [Distress: , LIWC Sad: ]
Msg_id: 14567990203  [Distress: , LIWC Sad: ]
Msg_id: 16377908376  [Distress: , depressive_feelings: ]
Msg_id: 16112689174  [Distress: , LIWC Sad: ]
Msg_id: 14949207016  [Distress: , depressive_feelings: ]
Msg_id: 14735535189  [Distress: , LIWC Sad: ]
Msg_id: 15876312630  [Distress: , LIWC Sad: ]
Msg_id: 16490026016  [Distress: , LIWC Sad: ]
Msg_id: 16161471923  [Distress: , self_harm: ]
Msg_id: 16393691160  [Distress: , LIWC Sad: ]
Msg_id: 16380844050  [Distress: , depression_symptoms: ]
Msg_id: 16464024583  [Distress: , depression_symptoms: ]
Msg_id: 15300165008  [Distress: , LIWC Sad: ]
Msg_id: 14939045845  [Distress: , depressive_feelings: ]
Msg_id: 16388592878  [Distress: , LIWC Sad: ]
Msg_id: 15936695793  [Distress: , LIWC Sad: ]
Msg_id: 15648933998  [Distress: , LIWC Sad: ]
Msg_id: 16305905818  [Distress: , LIWC Sad: ]
Msg_id: 15344175894  [Distress: , LIWC Sad: ]
Msg_id: 15026180136  [Distress: , LIWC Sad: ]
Msg_id: 15749160430  [Distress: , LIWC Sad: ]
Msg_id: 15264128861  [Distress: , LIWC Sad: ]
Msg_id: 14913142638  [Distress: , LIWC Sad: ]
Msg_id: 15674819306  [Distress: , LIWC Sad: ]
Msg_id: 16112742132  [Distress: , self_harm: ]
Msg_id: 14329827295  [Distress: , LIWC Sad: ]
Msg_id: 14313731783  [Distress: , self_harm: ]
Msg_id: 16433123051  [Distress: , LIWC Sad: ]
Msg_id: 15708022433  [Distress: , LIWC Sad: ]
Msg_id: 14462096350  [Distress: , self_harm: ]
Msg_id: 15351226634  [Distress: , LIWC Sad: ]
Msg_id: 14311552357  [Distress: , LIWC Sad: ]
Msg_id: 15203490524  [Distress: , LIWC Sad: ]
Msg_id: 14271732113  [Distress: , suicide_ideation: ]
Msg_id: 16116897016  [Distress: , LIWC Sad: ]
Msg_id: 15908685060  [Distress: , LIWC Sad: ]
Msg_id: 14702428861  [Distress: , LIWC Sad: ]
Msg_id: 15644879064  [Distress: , LIWC Sad: ]
Msg_id: 16348623086  [Distress: , LIWC Sad: ]
Msg_id: 14735236778  [Distress: , suicide_ideation: ]
Msg_id: 15400965996  [Distress: , LIWC Sad: ]
Msg_id: 14306549322  [Distress: , suicide_ideation: ]
Msg_id: 15531113850  [Distress: , LIWC Sad: ]
Msg_id: 14803376126  [Distress: , self_harm: ]
Msg_id: 16523136346  [Distress: , psychological_disorders: ]
Msg_id: 14845492995  [Distress: , LIWC Sad: ]
Msg_id: 15292433119  [Distress: , depressive_feelings: ]
Msg_id: 15388808801  [Distress: , LIWC Sad: ]
Msg_id: 16347249280  [Distress: , LIWC Sad: ]
Msg_id: 15900576344  [Distress: , LIWC Sad: ]
Msg_id: 15527644172  [Distress: , LIWC Sad: ]
Msg_id: 15322742795  [Distress: , LIWC Sad: ]
Msg_id: 16234632654  [Distress: , LIWC Sad: ]
Msg_id: 14579261663  [Distress: , depressive_feelings: ]
Msg_id: 15680731863  [Distress: , LIWC Sad: ]
Msg_id: 15385470722  [Distress: , depressive_feelings: ]
Msg_id: 14683546254  [Distress: , LIWC Sad: ]
Msg_id: 15383485160  [Distress: , suicide_ideation: ]
Msg_id: 15467559443  [Distress: , LIWC Sad: ]
Msg_id: 14886094839  [Distress: , LIWC Sad: ]
Msg_id: 14996353039  [Distress: , self_harm: ]
Msg_id: 15565278569  [Distress: , LIWC Sad: ]
Msg_id: 15543742042  [Distress: , depression_symptoms: ]
Msg_id: 14733912782  [Distress: , LIWC Sad: ]
Msg_id: 15896743768  [Distress: , LIWC Sad: ]
Msg_id: 16310998568  [Distress: , depressive_feelings: ]
Msg_id: 14952618888  [Distress: , LIWC Sad: ]
Msg_id: 14806183184  [Distress: , LIWC Sad: ]
Msg_id: 15602999266  [Distress: , LIWC Sad: ]
Msg_id: 15291882017  [Distress: , LIWC Sad: ]
Msg_id: 16371445608  [Distress: , LIWC Sad: ]
Msg_id: 15341124606  [Distress: , suicide_ideation: ]
Msg_id: 15430685619  [Distress: , LIWC Sad: ]
Msg_id: 16492284453  [Distress: , LIWC Sad: ]
Msg_id: 16227910138  [Distress: , depressive_feelings: ]
Msg_id: 15678402004  [Distress: , LIWC Sad: ]
Msg_id: 15254091233  [Distress: , depressive_feelings: ]
Msg_id: 16187484814  [Distress: , depressive_feelings: ]
Msg_id: 15678427337  [Distress: , LIWC Sad: ]
Msg_id: 14501097438  [Distress: , LIWC Sad: ]
Msg_id: 15570484340  [Distress: , LIWC Sad: ]
Msg_id: 14751957983  [Distress: , LIWC Sad: ]
Msg_id: 14305477748  [Distress: , LIWC Sad: ]
Msg_id: 15389464840  [Distress: , LIWC Sad: ]
Msg_id: 14476916374  [Distress: , LIWC Sad: ]
Msg_id: 16185482159  [Distress: , LIWC Sad: ]
Msg_id: 15638460838  [Distress: , LIWC Sad: ]
Msg_id: 15397169472  [Distress: , LIWC Sad: ]
Msg_id: 16466385885  [Distress: , LIWC Sad: ]
Msg_id: 15028393249  [Distress: , LIWC Sad: ]
Msg_id: 14832099514  [Distress: , self_harm: ]
Msg_id: 14704037154  [Distress: , LIWC Sad: ]
Msg_id: 14826722799  [Distress: , LIWC Sad: ]
Msg_id: 15191325130  [Distress: , depressive_feelings: ]
Msg_id: 16013931445  [Distress: , LIWC Sad: ]
Msg_id: 15455216712  [Distress: , LIWC Sad: ]
Msg_id: 14933365413  [Distress: , self_harm: ]
Msg_id: 16527393791  [Distress: , depression_symptoms: ]
Msg_id: 14592067002  [Distress: , LIWC Sad: ]
Msg_id: 15004782765  [Distress: , LIWC Sad: ]
Msg_id: 14371909570  [Distress: , depressive_feelings: ]
Msg_id: 16472258866  [Distress: , depressive_feelings: ]
Msg_id: 15336264476  [Distress: , LIWC Sad: ]
Msg_id: 15939122239  [Distress: , suicide_ideation: ]
Msg_id: 14956035368  [Distress: , LIWC Sad: ]
Msg_id: 14800489748  [Distress: , depressive_feelings: ]
Msg_id: 15875935222  [Distress: , depressive_feelings: ]
Msg_id: 15934760800  [Distress: , LIWC Sad: ]
Msg_id: 14273395040  [Distress: , LIWC Sad: ]
Msg_id: 15603447247  [Distress: , LIWC Sad: ]
Msg_id: 16155797602  [Distress: , LIWC Sad: ]
Msg_id: 15000756862  [Distress: , LIWC Sad: ]
Msg_id: 14607496137  [Distress: , depression_symptoms: ]
Msg_id: 16162040042  [Distress: , suicide_ideation: ]
Msg_id: 14601771072  [Distress: , LIWC Sad: ]
Msg_id: 16412214164  [Distress: , depressive_feelings: ]
Msg_id: 16338316632  [Distress: , self_harm: ]
Msg_id: 14947072083  [Distress: , LIWC Sad: ]
Msg_id: 15979825068  [Distress: , LIWC Sad: ]
Msg_id: 15967011637  [Distress: , LIWC Sad: ]
Msg_id: 16348099040  [Distress: , LIWC Sad: ]
Msg_id: 16217865120  [Distress: , depressive_feelings: ]
Msg_id: 16348010775  [Distress: , LIWC Sad: ]
Msg_id: 15638401219  [Distress: , LIWC Sad: ]
Msg_id: 16354114235  [Distress: , self_harm: ]
Msg_id: 15714929454  [Distress: , LIWC Sad: ]
Msg_id: 15215699072  [Distress: , LIWC Sad: ]
Msg_id: 16263448845  [Distress: , LIWC Sad: ]
Msg_id: 14264155964  [Distress: , LIWC Sad: ]
Msg_id: 15335079226  [Distress: , LIWC Sad: ]
Msg_id: 15524855694  [Distress: , gun_ownership: ]
Msg_id: 16358086405  [Distress: , suicide_ideation: ]
Msg_id: 16328256431  [Distress: , LIWC Sad: ]
Msg_id: 15194671896  [Distress: , LIWC Sad: ]
Msg_id: 15968278540  [Distress: , suicide_ideation: ]
Msg_id: 16432907030  [Distress: , LIWC Sad: ]
Msg_id: 16337884424  [Distress: , LIWC Sad: ]
Msg_id: 15591464187  [Distress: , LIWC Sad: ]
Msg_id: 15406307206  [Distress: , LIWC Sad: ]
Msg_id: 16235637425  [Distress: , LIWC Sad: ]
Msg_id: 14765540985  [Distress: , depression_symptoms: ]
Msg_id: 15981017997  [Distress: , drug_abuse: ]
Msg_id: 14732968113  [Distress: , LIWC Sad: ]
Msg_id: 14740212692  [Distress: , LIWC Sad: ]
Msg_id: 14984160152  [Distress: , LIWC Sad: ]
Msg_id: 15302928237  [Distress: , LIWC Sad: ]
Msg_id: 15416569951  [Distress: , LIWC Sad: ]
Msg_id: 14274756536  [Distress: , depressive_feelings: ]
Msg_id: 14914297068  [Distress: , LIWC Sad: ]
Msg_id: 14685434739  [Distress: , suicide_ideation: ]
Msg_id: 16550030894  [Distress: , LIWC Sad: ]
Msg_id: 14732146101  [Distress: , LIWC Sad: ]
Msg_id: 15966959982  [Distress: , LIWC Sad: ]
Msg_id: 16406225940  [Distress: , LIWC Sad: ]
Msg_id: 14812450035  [Distress: , depression_symptoms: ]
Msg_id: 15388398012  [Distress: , LIWC Sad: ]
Msg_id: 15715043354  [Distress: , LIWC Sad: ]
Msg_id: 14719541900  [Distress: , suicide_ideation: ]
Msg_id: 16413223827  [Distress: , LIWC Sad: ]
Msg_id: 14272821056  [Distress: , LIWC Sad: ]
Msg_id: 14894200395  [Distress: , depressive_feelings: ]
Msg_id: 14762412991  [Distress: , depressive_feelings: ]
Msg_id: 16429396280  [Distress: , LIWC Sad: ]
Msg_id: 15596845718  [Distress: , LIWC Sad: ]
Msg_id: 14809099691  [Distress: , LIWC Sad: ]
Msg_id: 16548733344  [Distress: , LIWC Sad: ]
Msg_id: 15302526999  [Distress: , LIWC Sad: ]
Msg_id: 16343976858  [Distress: , LIWC Sad: ]
Msg_id: 14274291685  [Distress: , LIWC Sad: ]
Msg_id: 16196957854  [Distress: , LIWC Sad: ]
Msg_id: 14884739181  [Distress: , LIWC Sad: ]
Msg_id: 16375325935  [Distress: , LIWC Sad: ]
Msg_id: 16353052886  [Distress: , LIWC Sad: ]
Msg_id: 15347488245  [Distress: , gun_ownership: ]
Msg_id: 16236047925  [Distress: , LIWC Sad: ]
Msg_id: 14487989855  [Distress: , LIWC Sad: ]
Msg_id: 15896812853  [Distress: , LIWC Sad: ]
Msg_id: 15531043354  [Distress: , LIWC Sad: ]
Msg_id: 16433075953  [Distress: , LIWC Sad: ]
Msg_id: 14947247890  [Distress: , LIWC Sad: ]
Msg_id: 14995373255  [Distress: , depressive_feelings: ]
Msg_id: 16144468157  [Distress: , LIWC Sad: ]
Msg_id: 15292915135  [Distress: , LIWC Sad: ]
Msg_id: 16260318008  [Distress: , suicide_ideation: ]
Msg_id: 16350537207  [Distress: , LIWC Sad: ]
Msg_id: 14981868792  [Distress: , LIWC Sad: ]
Msg_id: 15755525871  [Distress: , depressive_feelings: ]
Msg_id: 14776185880  [Distress: , LIWC Sad: ]
Msg_id: 16418606235  [Distress: , LIWC Sad: ]
Msg_id: 14272014735  [Distress: , LIWC Sad: ]
Msg_id: 14754993688  [Distress: , depressive_feelings: ]
Msg_id: 14500119564  [Distress: , LIWC Sad: ]
Msg_id: 15392776671  [Distress: , LIWC Sad: ]
Msg_id: 15636420822  [Distress: , depressive_feelings: ]
Msg_id: 16123995414  [Distress: , depression_symptoms: ]
Msg_id: 14714280827  [Distress: , LIWC Sad: ]
Msg_id: 14518051136  [Distress: , LIWC Sad: ]
Msg_id: 14999009487  [Distress: , LIWC Sad: ]
Msg_id: 14333218484  [Distress: , LIWC Sad: ]
Msg_id: 14262548996  [Distress: , LIWC Sad: ]
Msg_id: 15892736512  [Distress: , suicide_ideation: ]
Msg_id: 14323255832  [Distress: , suicide_around_individual: ]
Msg_id: 16518517002  [Distress: , LIWC Sad: ]
Msg_id: 14946959767  [Distress: , LIWC Sad: ]
Msg_id: 15974867418  [Distress: , family_violence_discord: ]
Msg_id: 14442370894  [Distress: , depressive_feelings: ]
Msg_id: 15628325067  [Distress: , suicide_ideation: ]
Msg_id: 14286053216  [Distress: , LIWC Sad: ]
Msg_id: 15725854239  [Distress: , depressive_feelings: ]
Msg_id: 16010621796  [Distress: , depression_symptoms: ]
Msg_id: 15438230780  [Distress: , suicide_ideation: ]
Msg_id: 14291571732  [Distress: , depression_symptoms: ]
Msg_id: 16471790437  [Distress: , LIWC Sad: ]
Msg_id: 15673755458  [Distress: , LIWC Sad: ]
Msg_id: 16520441580  [Distress: , LIWC Sad: ]
Msg_id: 14463570327  [Distress: , LIWC Sad: ]
Msg_id: 15375082079  [Distress: , LIWC Sad: ]
Msg_id: 14323851569  [Distress: , depressive_feelings: ]
Msg_id: 14813882320  [Distress: , LIWC Sad: ]
Msg_id: 15292581668  [Distress: , LIWC Sad: ]
Msg_id: 14955223660  [Distress: , LIWC Sad: ]
Msg_id: 16429109087  [Distress: , depressive_feelings: ]
Msg_id: 16132566893  [Distress: , depressive_feelings: ]
Msg_id: 14269787417  [Distress: , self_harm: ]
Msg_id: 14819449677  [Distress: , depression_symptoms: ]
Msg_id: 15957982410  [Distress: , LIWC Sad: ]
Msg_id: 16016563852  [Distress: , LIWC Sad: ]
Msg_id: 14884917490  [Distress: , depressive_feelings: ]
Msg_id: 15214058169  [Distress: , LIWC Sad: ]
Msg_id: 14471010808  [Distress: , LIWC Sad: ]
Msg_id: 14634436982  [Distress: , depressive_feelings: ]
Msg_id: 14437156746  [Distress: , depression_symptoms: ]
Msg_id: 15280684448  [Distress: , LIWC Sad: ]
Msg_id: 16164049583  [Distress: , depressive_feelings: ]
Msg_id: 14279416171  [Distress: , depressive_feelings: ]
Msg_id: 16358472427  [Distress: , self_harm: ]
Msg_id: 15531118162  [Distress: , LIWC Sad: ]
Msg_id: 16193979692  [Distress: , LIWC Sad: ]
Msg_id: 14972076959  [Distress: , depressive_feelings: ]
Msg_id: 15174671790  [Distress: , LIWC Sad: ]
Msg_id: 16162137977  [Distress: , LIWC Sad: ]
Msg_id: 14635101358  [Distress: , self_harm: ]
Msg_id: 14798603841  [Distress: , depressive_feelings: ]
Msg_id: 16337761819  [Distress: , LIWC Sad: ]
Msg_id: 15742539727  [Distress: , LIWC Sad: ]
Msg_id: 16290468041  [Distress: , LIWC Sad: ]
Msg_id: 14320671147  [Distress: , LIWC Sad: ]
Msg_id: 16085204902  [Distress: , LIWC Sad: ]
Msg_id: 15268349861  [Distress: , LIWC Sad: ]
Msg_id: 15341787287  [Distress: , LIWC Sad: ]
Msg_id: 14703235706  [Distress: , impulsivity: ]
Msg_id: 14580088604  [Distress: , depressive_feelings: ]
Msg_id: 16281003796  [Distress: , LIWC Sad: ]
Msg_id: 16184391090  [Distress: , depressive_feelings: ]
Msg_id: 15746463597  [Distress: , depressive_feelings: ]
Msg_id: 15982251780  [Distress: , LIWC Sad: ]
Msg_id: 14958714994  [Distress: , suicide_ideation: ]
Msg_id: 16117706721  [Distress: , LIWC Sad: ]
Msg_id: 15221273280  [Distress: , LIWC Sad: ]
Msg_id: 15025243717  [Distress: , depression_symptoms: ]
Msg_id: 15594579017  [Distress: , LIWC Sad: ]
Msg_id: 15218982124  [Distress: , gun_ownership: ]
Msg_id: 14866951260  [Distress: , LIWC Sad: ]
Msg_id: 16334887284  [Distress: , LIWC Sad: ]
Msg_id: 15329834071  [Distress: , LIWC Sad: ]
Msg_id: 16489853682  [Distress: , depressive_feelings: ]
Msg_id: 14290485167  [Distress: , suicide_ideation: ]
Msg_id: 14944188753  [Distress: , LIWC Sad: ]
Msg_id: 16267412819  [Distress: , depression_symptoms: ]
Msg_id: 14723754717  [Distress: , LIWC Sad: ]
Msg_id: 15679211890  [Distress: , depressive_feelings: ]
Msg_id: 15455944665  [Distress: , LIWC Sad: ]
Msg_id: 16242225650  [Distress: , LIWC Sad: ]
Msg_id: 14973995228  [Distress: , LIWC Sad: ]
Msg_id: 14262829154  [Distress: , LIWC Sad: ]
Msg_id: 15417774763  [Distress: , LIWC Sad: ]
Msg_id: 15231381975  [Distress: , depressive_feelings: ]
Msg_id: 15270490921  [Distress: , LIWC Sad: ]
Msg_id: 16195718304  [Distress: , suicide_ideation: ]
Msg_id: 15237441809  [Distress: , LIWC Sad: ]
Msg_id: 16186780611  [Distress: , LIWC Sad: ]
Msg_id: 16168080461  [Distress: , self_harm: ]
Msg_id: 14628357310  [Distress: , depression_symptoms: ]
Msg_id: 15976982960  [Distress: , suicide_ideation: ]
Msg_id: 15577521637  [Distress: , LIWC Sad: ]
Msg_id: 16344986445  [Distress: , LIWC Sad: ]
Msg_id: 15200803489  [Distress: , LIWC Sad: ]
Msg_id: 14987011520  [Distress: , LIWC Sad: ]
Msg_id: 16169290946  [Distress: , suicide_ideation: ]
Msg_id: 16080482104  [Distress: , LIWC Sad: ]
Msg_id: 15345967238  [Distress: , LIWC Sad: ]
Msg_id: 15432778402  [Distress: , LIWC Sad: ]
Msg_id: 15381769857  [Distress: , bullying: ]
Msg_id: 15396872651  [Distress: , LIWC Sad: ]
Msg_id: 14405500127  [Distress: , depressive_feelings: ]
Msg_id: 16438518597  [Distress: , depressive_feelings: ]
Msg_id: 14321980260  [Distress: , depressive_feelings: ]
Msg_id: 15713865089  [Distress: , depressive_feelings: ]
Msg_id: 14987735246  [Distress: , LIWC Sad: ]
Msg_id: 15907528035  [Distress: , depressive_feelings: ]
Msg_id: 15223927192  [Distress: , LIWC Sad: ]
Msg_id: 16117443822  [Distress: , self_harm: ]
Msg_id: 16398702401  [Distress: , LIWC Sad: ]
Msg_id: 15764975511  [Distress: , LIWC Sad: ]
Msg_id: 14664436042  [Distress: , LIWC Sad: ]
Msg_id: 14659127084  [Distress: , LIWC Sad: ]
Msg_id: 16271151917  [Distress: , LIWC Sad: ]
Msg_id: 14811821478  [Distress: , LIWC Sad: ]
Msg_id: 14401868879  [Distress: , LIWC Sad: ]
Msg_id: 16005722576  [Distress: , LIWC Sad: ]
Msg_id: 15741748880  [Distress: , depressive_feelings: ]
Msg_id: 14270079069  [Distress: , LIWC Sad: ]
Msg_id: 14738591121  [Distress: , LIWC Sad: ]
Msg_id: 14316426468  [Distress: , LIWC Sad: ]
Msg_id: 15607111180  [Distress: , LIWC Sad: ]
Msg_id: 14799915496  [Distress: , LIWC Sad: ]
Msg_id: 16334322297  [Distress: , suicide_ideation: ]
Msg_id: 16196920200  [Distress: , LIWC Sad: ]
Msg_id: 16116180951  [Distress: , depressive_feelings: ]
Msg_id: 14777321077  [Distress: , depressive_feelings: ]
Msg_id: 15002381437  [Distress: , LIWC Sad: ]
Msg_id: 16198774713  [Distress: , LIWC Sad: ]
Msg_id: 16198228279  [Distress: , LIWC Sad: ]
Msg_id: 15162491505  [Distress: , LIWC Sad: ]
Msg_id: 15456691863  [Distress: , suicide_ideation: ]
Msg_id: 15596848856  [Distress: , LIWC Sad: ]
Msg_id: 16013083663  [Distress: , LIWC Sad: ]
Msg_id: 16538020091  [Distress: , LIWC Sad: ]
Msg_id: 16438095643  [Distress: , LIWC Sad: ]
Msg_id: 14281788877  [Distress: , depression_symptoms: ]
Msg_id: 15035314827  [Distress: , LIWC Sad: ]
Msg_id: 14769447266  [Distress: , LIWC Sad: ]
Msg_id: 15310892120  [Distress: , LIWC Sad: ]
Msg_id: 15021045628  [Distress: , LIWC Sad: ]
Msg_id: 14815012547  [Distress: , LIWC Sad: ]
Msg_id: 16518936626  [Distress: , LIWC Sad: ]
Msg_id: 14674126664  [Distress: , LIWC Sad: ]
Msg_id: 15602222434  [Distress: , LIWC Sad: ]
Msg_id: 15973205413  [Distress: , LIWC Sad: ]
Msg_id: 15031780384  [Distress: , LIWC Sad: ]
Msg_id: 16243635564  [Distress: , LIWC Sad: ]
Msg_id: 14775296320  [Distress: , LIWC Sad: ]
Msg_id: 15492094145  [Distress: , LIWC Sad: ]
Msg_id: 14513021033  [Distress: , LIWC Sad: ]
Msg_id: 14400789497  [Distress: , LIWC Sad: ]
Msg_id: 15000969101  [Distress: , family_violence_discord: ]
Msg_id: 14807438722  [Distress: , LIWC Sad: ]
Msg_id: 15754198324  [Distress: , LIWC Sad: ]
Msg_id: 15215141565  [Distress: , LIWC Sad: ]
Msg_id: 15199674813  [Distress: , depressive_feelings: ]
Msg_id: 16345259498  [Distress: , family_violence_discord: ]
Msg_id: 16090573711  [Distress: , depressive_feelings: ]
Msg_id: 16192916120  [Distress: , LIWC Sad: ]
Msg_id: 14944029441  [Distress: , LIWC Sad: ]
Msg_id: 15420659323  [Distress: , depressive_feelings: ]
Msg_id: 14975415548  [Distress: , LIWC Sad: ]
Msg_id: 16415957481  [Distress: , self_harm: ]
Msg_id: 16011933716  [Distress: , LIWC Sad: ]
Msg_id: 16263428028  [Distress: , LIWC Sad: ]
Msg_id: 14464311212  [Distress: , depressive_feelings: ]
Msg_id: 16113205427  [Distress: , LIWC Sad: ]
Msg_id: 14962816019  [Distress: , LIWC Sad: ]
Msg_id: 16275518291  [Distress: , LIWC Sad: ]
Msg_id: 15444919064  [Distress: , LIWC Sad: ]
Msg_id: 15232775686  [Distress: , depression_symptoms: ]
Msg_id: 16478385803  [Distress: , LIWC Sad: ]
Msg_id: 15899208343  [Distress: , LIWC Sad: ]
Msg_id: 15148813059  [Distress: , LIWC Sad: ]
Msg_id: 15381309677  [Distress: , LIWC Sad: ]
Msg_id: 15967074975  [Distress: , LIWC Sad: ]
Msg_id: 16445479712  [Distress: , LIWC Sad: ]
Msg_id: 15025902983  [Distress: , LIWC Sad: ]
Msg_id: 15010064546  [Distress: , LIWC Sad: ]
Msg_id: 16335981950  [Distress: , LIWC Sad: ]
Msg_id: 15565604114  [Distress: , LIWC Sad: ]
Msg_id: 14735146929  [Distress: , depressive_feelings: ]
Msg_id: 14965666982  [Distress: , self_harm: ]
Msg_id: 15678167259  [Distress: , LIWC Sad: ]
Msg_id: 15260786673  [Distress: , LIWC Sad: ]
Msg_id: 15338824048  [Distress: , LIWC Sad: ]
Msg_id: 14393635034  [Distress: , LIWC Sad: ]
Msg_id: 16350493417  [Distress: , depressive_feelings: ]
Msg_id: 14943677136  [Distress: , LIWC Sad: ]
Msg_id: 14624955294  [Distress: , LIWC Sad: ]
Msg_id: 15071938969  [Distress: , LIWC Sad: ]
Msg_id: 14732398460  [Distress: , LIWC Sad: ]
Msg_id: 15693644578  [Distress: , LIWC Sad: ]
Msg_id: 16103299876  [Distress: , LIWC Sad: ]
Msg_id: 14948367558  [Distress: , LIWC Sad: ]
Msg_id: 14374303819  [Distress: , self_harm: ]
Msg_id: 15339838853  [Distress: , depressive_feelings: ]
