userid 	 tweetid 	 tweet
63519045	25970616099	@jonathantallant Glad you still like it. I'm enjoying summarising McT, but it is a little dense. I don't feel I'm making it any shorter.
63519045	25968713845	Slowly wading through McTaggart.
63519045	25965331340	@jichikawa That is excellent.
63519045	25925154693	Finished watching the third series of Mad Men. Brilliant TV.
63519045	25910512642	RT @AidanMcGlynn: Yablo's Analysis piece on paradoxes without self-reference really is a thing of beauty. I think that every time I see it.
63519045	25880529201	@andowjames No idea. No posters up, no email sent out and the website has the correct dates.
63519045	25870559973	Happy birthday @bthsmart!
63519045	25808543722	@jonathantallant Leave the puppies alone.
63519045	25795246313	@SDMumford I have met Sebastián. I will have to talk to him about presenting something in the Spring.
63519045	25792684166	Surprisingly productive few hours in the postgrad room. I need to spend more time there and more frequently.
63519045	25770870505	@andowjames Any other graduate students or is it just the wasps?
63519045	25768887075	@SDMumford It was a birthday present from a friend. It's one of her favourites as well.
63519045	25767246335	@jonathantallant Which paper? And where? Good luck!
63519045	25767226641	Finished reading 'Naive. Super' by @erlendloe. A really nice little book.
63519045	25687922947	I don't know what possessed me, when it is currently colder in the house than outside it, to walk around in shorts and a t-shirt.
63519045	25589096663	@Splend 'Pick up the gun... and the socks.'
63519045	25482105512	@jonathantallant Quite right. I feel so very foolish.
63519045	25446267089	@SDMumford Good luck getting home in good time.
63519045	25442631294	Handing in my dissertation in advance of the deadline has given me a long weekend off. I genuinely don't know what to do with myself.
63519045	25438927346	@jonathantallant I wasn't aware of the "R" rule for port. What excludes the summer months from port enjoyment?
63519045	25438878449	@carriejenkins There's nothing wrong with feeling like Liz Lemon.
63519045	25401313719	@andowjames Aesthetics and Ethics occupy 7/10. Next term might be different though. I should point out I have no complaints as organiser.
63519045	25401105475	@andowjames Disappointing. The balance is a little off without more metaphysics.
63519045	25399379232	Delighted Dr Charlotte Matheson will be presenting at the postgraduate seminar. Brings the total of metaphysicians presenting up to 2/10.
63519045	25399224425	@colincaret Sounds like a very logical lunch.
63519045	25386687849	@jonathantallant Forgot to ask yesterday. Any progress with the monograph?
63519045	25327666165	MA complete. Thinking about having a long weekend before getting back to work on the PhD.
63519045	25327581992	@laurenredhead It used to be 500 points per £2.50 voucher, but that might have changed.
63519045	25298746713	First PhD supervision scheduled. Going to tackle McTaggart. Quite looking forward to it, actually.
63519045	25294162210	I shouldn't be this confused after a 15-minute meeting.
63519045	25284209454	Saw The Other Guys at the cinema last night. Funnier than expected (and consistently funny throughout). Not perfect, but I would recommend.
63519045	25200223456	Registering as a PhD student today... I don't feel any different.
63519045	25106860360	@andowjames No. 6th October will be the first.
63519045	25103370805	@andowjames Indeed. Full credit to you. Catherine will be presenting on November 24th.
63519045	25103120096	Postgraduate research seminars at Nottingham this semester will have an interdisciplinary flavour. Thank you, @andowjames.
63519045	25098000584	Congratulations to @neerajmathad for passing his second FSA exam yesterday!
63519045	25038938768	Think, but don't think too much. http://bbc.in/cjfPRj
63519045	25038428689	Fresher's fair was the same as ever, but I've changed. Made me feel like a grumpy old git.
63519045	25038307102	@jonathantallant What?! Bastards!
63519045	24969478526	Always a funny time of year when students return. Something in the air. I start my fifth academic year in Nottingham this week. Scary.
63519045	24969333861	@Splend Good luck for tomorrow.
63519045	24954473666	@andowjames To be fair, 'funny' could refer to both humorous and peculiar.
63519045	24954192787	@andowjames I have tweeted an example where I laughed, but probably shouldn't.
63519045	24954139438	"No, you understand, you just don't agree." #funnyphilosophyquotes
63519045	24944639886	Putting together my presentation for the first postgraduate research seminar of the year.
63519045	24868532569	@Splend Off the top of my head... 'The NoteBook Antiqua' and 'The Constantia Gardner' #fontfilms.
63519045	24852987625	@andowjames True. My bad. I will assume that the Josh Greene reference threw me off.
63519045	24849608267	@andowjames Tell him to send me an email. I might have to run it past Philip, but it shouldn't be a problem.
63519045	24741948869	@jonathantallant I like PPR. Good quality papers and issues six times a year.
63519045	24696058882	Trying to do something with my dissertation this evening, but to no effect. Ended up reading comics. #sensible
63519045	24696020756	@neerajmathad Message received and understood. Hope exam stress eases fairly soon. (On the plus side, just think of the wage packet.)
63519045	24679041041	@AidanMcGlynn Congratulations!
63519045	24676503643	@jonathantallant Hopefully the opposite will also prove to be the case, just to compensate.
63519045	24647952671	@jonathantallant Keep it tasteful.
63519045	24646511327	@jonathantallant Are you still trying to bury maximalism?
63519045	24602065904	Thoroughly enjoyed today's #xphiukworkshop.
63519045	24554107469	Quite glad I didn't have to travel from Nottingham to Bristol today. Cheltenham to Bristol is orders of magnitude easier.
63519045	24553139593	@KomRomRom Philosophers are quite forgiving. I'm sure they'll allow you to get away with that.
63519045	24553095197	@ykdesigns That doesn't stop me...
63519045	24549805039	@andowjames Bah! Details, details.
63519045	24549570747	Today I journey to Bristol, as an X-phi novice, to attend @andowjames's #xphiukworkshop. Should be very interesting.
63519045	24461367385	Travelling today. Looking forward to the X-phi workshop tomorrow.
63519045	24456221498	RT @NanetteNielsen: Nottingham is named the least car-dependent City in England. (I certainly don’t need one!) :) http://tinyurl.com/333g7ew
63519045	24407424694	I love Penny Arcade. http://bit.ly/amHZjh
63519045	24379283492	Contemplating the suggestion by @jonathantallant that I read every sentence of my dissertation thoroughly and in isolation. Daunting.
63519045	24368169272	@andowjames (Eternalist's response) It's still here. -- I know which I find more intuitive.
63519045	24363022686	Where did the weekend go?
63519045	24309861510	@ykdesigns What are your post-GSK plans?
63519045	24290880164	@SDMumford What's the difference between a referee and an advisor?
63519045	24288991612	Remainder of today to be spent rewriting section 6 of my dissertation.
63519045	24288878378	@SDMumford Good news! Are these referee comments or other sources?
63519045	24282823205	Half-marathon completed by Beca in 1hr 47mins. Very impressed.
63519045	24266137150	Going to watch Beca run the Nottingham half-marathon today... I imagine I will get tired just watching them all warm up.
63519045	24103132227	Postgraduate research seminar programme is looking a little more healthy after cornering a few of my apathetic peers yesterday. Good news.
63519045	24052725848	Today I discovered that I do not have an innate ability to mark exam scripts. This was disappointing.
63519045	23937891041	Back from conference work for the last time. Microbiology and I will now part ways.
63519045	23270414488	Brain turning to mush. I blame the two day barrage of microbiology papers.
63519045	23166123425	10 hours spent working at a conference today. Same again tomorrow. 12 hours on Wednesday. Good for money, bad for sleep.
63519045	23118048618	What a horrible hour.
63519045	23086420755	Not looking forward to getting up at 6am for work tomorrow, but I do need the money. Might be quite fun work though, we shall see.
63519045	23086388168	@SDMumford What are you working on at the moment?
63519045	23068753352	Can't help but feel I've wasted the day.
63519045	23061947003	@colincaret Hilarious. Good find.
63519045	22984239462	Sainsbury's on a Saturday afternoon. Hell itself.
63519045	22962659348	Not enough shelf space. Disaster. Part of today must be devoted to office organisation.
63519045	22962596382	@SDMumford You must! Try and get a special edition. The audio commentary by the band is worth whatever extra you would pay.
63519045	22901788727	Back in Beeston again.
63519045	22893125371	Surprised to discover my girlfriend is a 'cover girl': http://bit.ly/aRSXYh
63519045	22825996299	My philosophy (mini-)library has increased a little in size since my birthday... I am a huge geek.
63519045	22807709244	Drowning in 'Out of Office' replies.
63519045	22800102076	It's difficult to combat other people's apathy.
63519045	22744804324	@SDMumford I certainly hope so. Some people credit him with being a heroic plagiarist, but I've never seen much evidence to back that up.
63519045	22744165151	@SDMumford Considering how many words Shakespeare invented, he was hardly constrained by the number of words that existed.
63519045	22718129308	@andowjames Lured further away from campus by the delights of Beeston, obviously.
63519045	22718041276	@carriejenkins Always cut off a finger to save a hand. #goodchairing
63519045	22709469084	@andowjames To where are you moving?
63519045	22645887501	Excited by the prospect of teaching next semester. A few obstacles to overcome first though.
63519045	22643657390	Jimmy Fallon, Jon Hamm, Tina Fey and the Glee cast singing 'Born to Run'? Awesome.
63519045	22640970830	I know more about Sartre's views on human freedom now than I did a few days ago. Not sure if this is a good thing.
63519045	22595006643	@andowjames Thanks. Hoping to stay on top of it so that I don't get panicked at all. (Unlikely.)
63519045	22561634456	@andowjames Due end of September.
63519045	22550720738	Packing. Off home tomorrow for a few days. Leaving dissertation related woes behind.
63519045	22532189176	@carriejenkins So far #because2 has looked like a fantastic conference. Quite jealous.
63519045	22513796023	@carriejenkins Good news!
63519045	22513634786	Important section to write today. Hoping to finish it by this evening.
63519045	22513601964	@carriejenkins Future colleague?
63519045	22463767344	The Victoria in Beeston is fast becoming a favourite spot. A shame it's so far out of the way, but it is worth the journey.
63519045	22344358891	Cooking a Sunday roast on a Saturday. I'm a maverick.
63519045	22295782941	@carlbaker Congratulations! I look forward to reading it!
63519045	22256004891	Thanks for the birthday wishes! @bthsmart @carriejenkins @jonathantallant @Splend
63519045	22164025055	@laurenredhead Doing the PhD at Nottingham with @jonathantallant and Philip Percival.
63519045	22160761929	@laurenredhead The topic, broadly, is presentism--the thesis that only present objects exist--in the philosophy of time.
63519045	22126492595	Hoping for good dissertation day tomorrow, then giving myself a few days off.
63519045	22126444413	Another excellent episode of The Wire watched tonight. Loving getting back into these and introducing them to someone new.
63519045	22125911842	@laurenredhead Dissertation deadline at the end of September, PhD starts at the beginning of October.
63519045	22119704718	I am feeling more and more that I want to stop writing my dissertation and move on to more interesting things. PhD can't start soon enough.
63519045	22075719002	@jonathantallant How was the school visit?
63519045	22002734377	Library session drawing to a close.
63519045	21986481429	Today I begin the final chapter of my MA dissertation. Hoping for a productive day.
63519045	21955208463	Heavy dissertation day today. Enjoyed getting back into things. Looking forward to a session in the library tomorrow too.
63519045	21743324584	@carriejenkins *facepalm*
63519045	21690435527	Andy Murray beaten by someone called 'Mardy Fish'. Great name.
63519045	21675068550	@Splend Try and round off that marathon with a back-to-back session of 'Shaun of the Dead' and 'Hot Fuzz'. Has to be done.
63519045	21674593059	Almost finished for the day.
63519045	21674539905	@neerajmathad Make sure your future-self elaborates on craziness in the forthcoming email.
63519045	21674511301	@laurenredhead On the plus side, Somerset did beat Essex. So, that's something to keep in mind.
63519045	21657614542	Posted by a friend on facebook yesterday: 'It's sexy A-levels!' http://sexyalevels.tumblr.com/
63519045	21656486823	#ff @laurenredhead for offering #ff advice. (See, that was simple.)
63519045	21656453061	@andowjames @laurenredhead You're right! I completely forgot. Obviously I don't mind offending people for the greater good.
63519045	21655383355	@laurenredhead I've never done a #ff. I feel as though I should but I don't want to leave anyone out.
63519045	21653824697	Really looking forward to getting back to work on my dissertation next week. Hoping to crack my issues with the modal-temporal analogy.
63519045	21650802266	Superb performance by Trescothick yesterday -- http://bbc.in/9uE5cY
63519045	21648850256	A lot less hectic than yesterday morning. A lot fewer depressing calls as well. Hurrah!
63519045	21613542546	Another day working on admissions tomorrow. End of business today was very quiet, so not sure what tomorrow will be like at all.
63519045	21594768882	@jonathantallant Congratulations!
63519045	21591070427	Trescothick has thumped 224 from 225 balls so far today. Fantastic.
63519045	21588902187	@Splend Very briefly, I wondered what 'Finnish clothes-washing' was... It's already been a long day.
63519045	21580149712	@andowjames I am. With sporadic and limited internet.
63519045	21574621142	This work is also a lot more depressing than I first thought. Telling people they haven't got a place at University is horrible.
63519045	21553826321	I take some small comfort from the fact that work starts a little later tomorrow. This hour is distinctly unpleasant.
63519045	21512425716	@SDMumford Great title! Looking forward to that.
63519045	21512404149	@jonathantallant It's the Castle Rock tap. Lots of good beer. It's on the outskirts of the city centre, near the station.
63519045	21512014065	@SDMumford Can't imagine why you'd be interested in that book...
63519045	21511969023	@jonathantallant Have you been to the Vat & Fiddle yet? Worth a trip if you fancy an evening of many different quality ales.
63519045	21507005731	Admissions hotline work tomorrow seems a lot more hectic than I had initially thought. That being said, I need the money.
63519045	21506935423	@jonathantallant What are you drinking?
63519045	21487295364	Not accomplished much today, but that was to be expected. Now off to get a coffee before training for admissions work tomorrow.
63519045	21486407557	@SDMumford Cook, Pietersen and Collingwood all out for single figures.
63519045	21486361672	@SDMumford 70-5.
63519045	21486087920	I was disappointed with the number of wickets Somerset lost before lunch, but now that I've seen the England score...
63519045	21483192053	@jonathantallant Zing!
63519045	21479020307	It's lovely and quiet in Hallward Library today. Nice place to work.
63519045	21441131282	@andowjames No problems there. Although you are my one and only 'volunteer' so far. No, I am just wondering if I should take the lead.
63519045	21440565815	Trying to decide whether I should, as organiser, give a paper at the first postgraduate seminar of the year. I will have to sleep on it.
63519045	21440245899	That's a good looking bookshop. RT @bookshelfporn: Photo: danyellah: http://tumblr.com/xxmg0nzcq”
63519045	21422301940	Philosophers' annual, vol. 29: http://bit.ly/9fZl8V -- the ten best philosophy papers of 2009.
63519045	21302125602	@andowjames Related question, do you get ILL vouchers from the department as a PhD student or do you pay?
63519045	21299322681	@carlbaker I don't know why, but I like the idea of someone turning 18 today and saving a copy of that newspaper.
63519045	21268956115	@ykdesigns Nottingham will miss you!
63519045	21268872302	@neerajmathad If you get a chance, throw an email my way this week. I need an update.
63519045	21268811911	Good weekend. Did the dissertation work I needed to do, relaxed and watched some football. Very pleasant.
63519045	21241873803	On the plus side, I didn't pay to see it at the City Ground -- I watched it at The Approach instead.
63519045	21241729489	Forest draw 1-1 with Leeds. Thoroughly disappointed. Reds dominated the first 30 minutes but it was downhill from then onwards.
63519045	21241538976	@scmbradley Don't suppose you could DM the link to that, could you?
63519045	21185560777	No doubt about it, I love The Wire.
63519045	21163497714	Chapter 5 is a lot of fun, but very messy. Enjoying writing it though.
63519045	21136326310	@neerajmathad Ouch. What happened?
63519045	21080582057	@jonathantallant Sorry to hear. Hope AHRC news was the only major low point.
63519045	21080518449	@jonathantallant Chapters 4 and 5 should be in your inbox at the beginning of next week, all being well.
79737432	27344815307	@xemmalovesGAx  So did you have a good day today? What was your favourite bit??
79737432	27252295863	@bigbowpeep Well the way to a man's heart is food as they say!
79737432	27240837515	@bigbowpeep I bet you are excited, I've just seen them being put into the post. Enjoy!!!
79737432	27227028264	@bigbowpeep Yaye!! Awesome! She is great. So are your Dreams going to be making their way to you soon?
79737432	27226167606	@MrPeterAndre Morning! (@CANTV)
79737432	27223867798	Bored? Remember its National Chocolate week so why don't you treat yourself to a trip to Cadbury World???
79737432	27222776153	Hi @Anansi_ @MaryPoppinsX Unfortunately we don't have the Creme Egg car. Call Cadbury on 0800 81 81 81 and see what they can do!
79737432	27222477509	@bigbowpeep Oh no! That's not good. The guys in the shop don't start until 10am. If you DM us your number, I'll get them to call you!
79737432	27150766647	Cadbury World are now following @HollyProminent Are you following us?? Give us a DM
79737432	27147411029	So any of you tweeters out there been @SpotsvStripes in it?? More fun activity this weekend @CadburyWorld !!
79737432	27147304019	@bigbowpeep It soooooooo tastes Dreamy!!! And yes, it's definitely not like a Milky Bar.
79737432	27147158811	So any of you tweeters out there been @SpotsvStripes in it?? More fun activity this weekend!!
79737432	27147007408	@HollyProminent Yes he definitely does!! U guys will have a great time4 sure! Send us ur address in a DM and we'll send u some comp tickets!
79737432	27143236261	Oooh great idea @HollyProminent How long do you have to show him around? Where you going to go? Obviously chocolatey heaven!!!!
79737432	27142890755	@bigbowpeep Yaye! We heart you too! Did you manage to get your Dream's??
79737432	27133994362	@HollyProminent Ah you're going to love it. I think it's fair to say that the ride is the best in the world-ever!! When you coming?
79737432	27133927539	@bigbowpeep No problem! Just gives us a tweet if you need anything else!!
79737432	27124778401	@bigbowpeep No worries, we're here to help!!! Its 0121 458 4632. That'll take you directly to our shop!!
79737432	27124734638	@HollyProminent It is seriously yum!! Probably the best part of the day? No wait the ride is, no wait the production area is!? Ahhh!!
79737432	27124612169	@bigbowpeep Their number is 0121 458 4632!
79737432	27124532067	@bigbowpeep Ah that's bad news! But there is light at the end if the tunnel! You can call our shop to buy them and we'll post them out!
79737432	27121839404	Hi @HollyProminent You haven't been in years? Tut tut!! We don't have that drink anymore but we do give a pot of melted choc!! Yum yum!!
79737432	27121788075	@bigbowpeep @cadburyworld Hi Ben, the answer is YES!! You can buy Dream here at Cadbury World. Are you planning to make a visit?
79737432	27024738566	@HollyProminent so are we!! :-)
79737432	27015876162	Woo hoo! We've reached 500 followers! We also had an amazing @SpotsvStripes weekend. Well done visitors!!!
79737432	26744776572	Well @SpotsvStripes! There will be a variety of different cool and fun games to play this weekend! Come down and get gaming!!
79737432	26554252325	@SpotsvStripes Very very sticky! It was a very messy sticky gloop! Maybe they should introduce syrup swimming???
79737432	26550554741	@SpotsvStripes The show Mythbusters showed the guys who present racing in syrup! How many people could do that?
79737432	26365744555	@yayrainboots I'm not too sure. You can always buy them here! Or you could call our Cadbury World shop to purchase and we'll ship them to u!
79737432	26363400348	@yayrainboots Ah no, we don't do fruit and nut mis-shapes I'm afraid. They are chewy and have caramel in them though!
79737432	26350713229	@yayrainboots Yaye! We'd love you to visit! You can buy mis-shapes when you're here. And you will get free chocolate too! Woo!!
79737432	26344995675	So it's a new week! What are you guys planning to do? A trip to Cadbury World?
79737432	25788631823	We've just had a spook-tacular Halloween shoot @CadburyWorld! Keep your eyes peeled for the photographs - they're a scream!!
79737432	25397037320	@CANTV thanks for the #ff we hope you have a lovely chocolately weekend :-)
79737432	25316111871	@iamseams Oh no! Did you come and we were closed?
79737432	25300106347	We're big @Mrpeterandre fans& v.excited! :-) RT @CANTV he Next Chapter is back on 6th Oct on ITV2 at 9pm are you @Mrpeterandre fans excited?
79737432	25194508052	We're at the Group Leisure & Travel Trade Show at the NEC today & tomorrow. We'll be at the Awards Show tonight - wish us luck!
79737432	25129462133	@Hannah_loves_BB Yaye!!! We love your picture!! Do you have any new ones?
79737432	25037043174	@MileyMandylovya Liking your style! Sounds great!!
79737432	25036436523	@MileyMandylovya Winter is a great idea!! What kind of stuff would you have in the house? Let your imagination go wild!!
79737432	25034842438	@MileyMandylovya That sounds amazing! How many rooms would it have? 2 Floors? It would be rubbish in summer though.
79737432	25034374627	Are you a Spot or a Stripe? Make a decision and get playing!! Check out http://www.spotsvstripes.com/homepage.aspx for more information!
79737432	25016092835	Our Spots v Stripes charity football match was a huge success! We raised an amazing £750 for St Mary's Hospice. Well done everyone!!
79737432	24772751847	@MileyMandylovya that's one of our favourites as well - ENJOY!
79737432	24772462863	@edjames1 well that would be telling but it's going to be great! :-)
79737432	24772401888	@Liphook Travel Thanks for the #ff - have a great weekend!
79737432	24772355719	@MileyMandylovya ooh good that's what we like to hear :-)
79737432	24765173106	Happy Friday everyone - we hope you all have a lovely chocolatey weekend :-)
79737432	24742649343	We're hosting a Spots v Stripes charity football match today at 6pm to raise money for St. Mary's Hospice -come along& support a good cause!
79737432	24466365268	@AccessibleGuide ahh thanks - we obviously agree! :-D
79737432	24108249815	@cash_x We love you for loving Cadbury World!! Woo!
79737432	24103401277	@attractiontix thanks for the #ff - have a lovely weekend :)
79737432	24094546717	@montezumas And yes, the model is quite scary looking. But then again, he was a very powerful man!!!
79737432	24094509019	@montezumas No, we haven't seen the debate. Can you send the link?
79737432	24089694137	@montezumas  Hello Montezumas! We've got a lovely model of Montezuma and his people here in our Aztec Jungle!
79737432	24089683095	@montezumas Hello Montezumas! We've got a lovely model of Montezuma and his people here in our Aztec Jungle!
79737432	22890029176	@GoneFairtrade Thank you very much! Ahh ok then, you've persuaded us :)
79737432	22888421264	We're still celebrating our 20th Anniversary and despite our best efforts we've still got loads of yummy cake left!! http://ow.ly/i/3Avq
79737432	22876208045	Cadbury World 20th Anniversary celebrations continue! http://ow.ly/i/3Aiw
79737432	22792760798	@danofftheradio no promises but we'll see what we can do :)
79737432	22791504661	@danofftheradio BIG thanks to @BRMB for coming along to help us celebrate today and we're glad you're all enjoying the chocolate :-D
79737432	22791397701	@StorckTR @attractiontix @katherinelouisa thanks guys! :)
79737432	22790389233	Had a fantastic morning celebrating our 20th Anniversary - look at our fabulous cake and chocolates :) http://ow.ly/i/3yXd
79737432	21925197870	RT @RewiredPR @CadburyWorld celebrates its 20th Anniversary http://ow.ly/2tsMz
79737432	21680344251	@GoneFairtrade It was lovely to have you and we're delighted that you had such a good time.
79737432	21680297525	@DavidFiske that's a lot of delicious chocolate we say! :)
79737432	21667384985	RT @katherinalouisa Loving the Cadbury chocolate stash in the @RewiredPR office!! http://twitpic.com/2gh54q &lt; This is our world everyday! :)
79737432	21570227797	If you love chocolate you'll love CadburyWorld - the summer holidays aren't finished so why not come &uncover a world of chocolate delights!
79737432	20298410529	@thisisdavid well that's certainly an interesting memory but we hope you still enjoyed the Aztec drink :)
79737432	20298016390	What do you remember most about your first visit to Cadbury World? http://ow.ly/2kNLa
79737432	19068102550	Our team has enjoyed a fun morning on our Cadabra ride planning future activities and look who we bumped into - http://yfrog.com/0ns3mj :)
79737432	19067249184	@IdeasForTheKids All will be revealed soon and we'll definitely let you know :)
79737432	18905380629	There are exciting things a foot at Cadbury World - watch this space and you'll be in for a treat! :)
79737432	18904956183	We hope everyone enjoyed our Bollywood themed weekend -we had loads of fun&it was great to see so many people trying Bhangra dancing! :-)
79737432	18673862848	Is exhibiting at The Retirement Show at Olympia in London!
79737432	18127342027	@Temper_art Thanks for the #ff Temper. Have a lovely chocolately weekend :)
79737432	17024185472	RT @samdowling The @rewiredpr team are just enjoying yummy Cadbury chocolate muffins! It's definitely a nice way to welcome in the weekend
79737432	16773408855	We've got some great entertainment throughout the summer holidays so check out our events page on the our website!
79737432	15712805380	Cadbury World enjoyed BRMB's Walkathon on Sunday! An amazing effort from everyone. We even got to meet Sam and Mark, they were great!
79737432	15548543974	Cadbury World is supporting the BRMB Walkathon today - good luck to all the walkers!
79737432	15409649948	Just two days left of the Whitsun half term holiday!  Come along to Cadbury World and join in the football mania fun, call 0844 880 7667.
79737432	13493189294	The magnificent Strike from Britain's Got Talent will be here on Saturday! Call 0844 880 7667 to book your tickets now!
79737432	13476159510	Kids off school today because of the election? Treat them to a day out at Cadbury World! www.cadburyworld.co.uk
79737432	13419036982	The magnificent Strike from Britain's Got Talent will be here on Saturday! Call 0844 880 7667 to book your tickets now!
79737432	12951688838	Wouldn't it be nice if the world was Cadbury? Come to Cadbury World and have a great chocolatey day out! www.cadburyworld.co.uk
79737432	12709471076	Cadbury World will be at the X Factor auditions tomorrow dishing out chocolate! Look out for us. Good luck everyone!
79737432	12627274932	It's Aztec Weekend at Cadbury World 24th-25th April. Come and meet Montezuma and even try the Aztec chilli drink! www.cadburyworld.co.uk
79737432	12273693537	Cadbury World is delighted to sponsor the BRMB Junior and Family Walkathon. Click here http://www.brmb.co.uk/Article.asp?id=1747450
79737432	12151990874	What's happened to the weather? It's a good job we're indoors! Come and give us a visit and have a great chocolately day out!
79737432	11881274015	What beautiful weather we're having today! Come check out Cadbury World and make your day that extra bit special.
79737432	11820565651	Dont just sit there and wonder what to do, come and visit Cadbury world over the next week. We have lots of fun entertainment and chocolate!
79737432	11689631377	We hope you had a lovely Cadbury filled Easter! If you can still squeeze in more chocolate then come give us a visit! Mmmmmmmmmm...
79737432	11238873493	Stuck for something to do this Easter? Come and have an amazing chocolatey day at Cadbury World!! Check out www.cadburyworld.co.uk
79737432	11096172593	Easter Holidays start tomorrow! Come visit Cadbury World and have a great chocolatey day out. Check out our website & remember, pre book!
79737432	11027779551	Become a fan of Cadbury World on Facebook! Search for Cadbury World (Leisure Attraction)
79737432	10877017264	Thinking of stuff to do during easter? We've got stacks of entertainment for your pleasure. Check out the website for more details.
79737432	10562007731	Come and visit us at the Best of Britain and Ireland show at Olympia and the British Leisure Show at Windsor Racecourse.
79737432	10380494167	Treat your beautiful mother's this Mothering Sunday at Cadbury World. We have delectable pampering sessions and lots of chocolate!
79737432	9619672105	is celebrating Purple Thursday! Download a discounted voucher from our website and come and give us a visit!
79737432	8953989500	has a packed, fun-filled half term for you! We have a variety of entertainers during 13th-21st February, so come and give us a visit!
79737432	7911118701	Why not make Valentine's Day extra special by proposing to the one you love here at Cadbury World? For more info just send us a message!
79737432	7706293421	is closed until 20th January. Why not give us a visit during half term? We have some excellent entertainment from 13th February to 21st!
79737432	7155794155	hopes that you all have had a Very Merry Christmas. Cadbury World will be closed from 30th December and will re-open on 20th January.
79737432	6300772381	has a Brass Band, Father Christmas and another Ice Skating rink here on Saturday 5th December! Don't miss the festive fun! Come on down!
79737432	6300753915	has a Brass Band, Father Christmas and another Ice Skating rink here on Saturday 5th December! Don't miss the festive fun!
79737432	6200375283	has had a very busy weekend! Ice Skating, Father Christmas and lots of chocolatey fun. We're looking forward to next weekend's festivities.
79737432	6084729723	is happy Christmas is nearly here! Remember there will be an ice skating rink on Saturday 28th November and Father Christmas too. Ho Ho Ho!
79737432	5623120587	is looking forward to Christmas! There will be an ice rink here on 28th November and 5th December. So come on, get your skates on!
79737432	5387698023	had a great Halloween style half term week! Bring on Christmas!
79737432	5284091559	's Debbie Bisseker has won the Gold Award for Outstanding Customer Service at last night's the Heart of England Tourism Awards! Well done!
79737432	5284078075	's Debbie Bisseker has won the Gold Award for Outstanding Customer Service at the Heart of England Tourism Awards! Well done!
