Original Tweets
~~~~~~~~~~~~~~~
H---UniqueAfrika (Wed, 19 May 2010 23:35:51 +0000):	Omg usually I hate my job but for some odd reason I'm having a blast. #whosmad lmaoooo
UniqueAfrika (Wed, 19 May 2010 19:19:59 +0000):	RT @NJGuttah: These mcdonalds commercials is horrible.** 2nd 3rd and 4th that smh
UniqueAfrika (Wed, 19 May 2010 20:04:06 +0000):	RT @ItsEasyBaby: I can't imagine 2 many black females goin to the foam party at Abyss 2night..therefor I'm not goin** lmao u damn rite.
UniqueAfrika (Wed, 19 May 2010 20:06:09 +0000):	I'm seeing a lot of goofy ass activities rite now on twitter. This shit is hilarious to me. #subliminaltweet. Get ur shit together
UniqueAfrika (Wed, 19 May 2010 20:07:53 +0000):	Hey Mr. Carter.
UniqueAfrika (Wed, 19 May 2010 20:16:07 +0000):	RT @Djomna: #iMissTheDaysWhen girls used to play hard to get....
UniqueAfrika (Wed, 19 May 2010 23:31:55 +0000):	@MR_eatda_PUSSAY ** wats good.
UniqueAfrika (Wed, 19 May 2010 23:32:46 +0000):	RT @ItsEasyBaby: @UniqueAfrika guess that's a No for u too den** hell no. Weave and water don't mix lmao
UniqueAfrika (Wed, 19 May 2010 23:35:51 +0000):	Omg usually I hate my job but for some odd reason I'm having a blast. #whosmad lmaoooo
UniqueAfrika (Wed, 19 May 2010 23:36:28 +0000):	RT @djcapone: RT @DanikaElaine_: RT @chineylei: RT @Southern_Icon: “@chineylei: #followerquestion do you think (cont) http://tl.gd/1cm0gc
UniqueAfrika (Thu, 20 May 2010 00:11:53 +0000):	RT @MR_eatda_PUSSAY: @UniqueAfrika nothing chillin ... What you doin shortyy?** chilling too
UniqueAfrika (Thu, 20 May 2010 19:29:16 +0000):	I'm being so fuccin sloppy and messy rite now. Wtf. I need to this shit together
UniqueAfrika (Thu, 20 May 2010 19:34:30 +0000):	I swear everytime I go M I A on twitter @RealImage always think something is wrong with me. Lmaooo I guess she (cont) http://tl.gd/1d69ue
UniqueAfrika (Sat, 22 May 2010 23:35:29 +0000):	So I just downloaded the new twitter app on my phone don't know how I feel about it yet. Lol
UniqueAfrika (Sun, 23 May 2010 18:00:07 +0000):	@RealImage ur chain is nice too wowwwww lmao
UniqueAfrika (Mon, 24 May 2010 00:55:24 +0000):	&quot;@lilduval: It's Gemini season bitches. The sign for the coolest realest people on earth&quot;** yesss 2nd that lol
UniqueAfrika (Mon, 24 May 2010 00:58:34 +0000):	Yo it crazy how this muthafucker act. idk wat time it is but I know its not 10. Talking about some I'm taking it down. Lmao #whatever
UniqueAfrika (Mon, 24 May 2010 01:00:13 +0000):	Don't really have time for the bullshit.
UniqueAfrika (Mon, 24 May 2010 16:39:19 +0000):	@viceeeVERSA its kool to cry son. I will cry too if I was u. Awwwww. Ok let me stop. But I'm happy for the family #realtalk
UniqueAfrika (Mon, 24 May 2010 18:06:04 +0000):	@RealImage wen today??
UniqueAfrika (Wed, 26 May 2010 01:57:41 +0000):	&quot;@RevRunWisdom: Nothings is impossible,, the word itself says I'M POSSIBLE!&quot;
UniqueAfrika (Wed, 26 May 2010 02:12:22 +0000):	Lmao I didn't kno Qvc sell cds too wow
UniqueAfrika (Wed, 26 May 2010 02:48:06 +0000):	Lmao @RealImage is the funniest
UniqueAfrika (Wed, 26 May 2010 03:25:58 +0000):	&quot;@RealImage: Lol..Me &amp; u knw who is gonna call uRT @UniqueAfrika: Lmao @RealImage is the funniest&quot;** lmao o boy
UniqueAfrika (Wed, 26 May 2010 03:28:56 +0000):	#fact my ex text like he is retarded. I wish I can yall see one of his text messages u be like wtf lmaoo. Smh.
UniqueAfrika (Wed, 26 May 2010 03:30:32 +0000):	I'm cooling why you dnot be hit me up nomore. This is one of his text. He meant to say y I don't hit him up anymore. Lmaooo
UniqueAfrika (Wed, 26 May 2010 16:31:46 +0000):	Its hot as hell. I decided to wear shorts wrong idea. Wtf.
UniqueAfrika (Wed, 26 May 2010 16:38:15 +0000):	I feel like everyone is undressing me with their eyes.# Paranoid tweet
UniqueAfrika (Wed, 26 May 2010 16:47:21 +0000):	@RealImage I didn't c the first one. I think it pretty pointless to go c the second one.
UniqueAfrika (Wed, 26 May 2010 16:47:52 +0000):	@NJGuttah is the phoniest person I kno.
UniqueAfrika (Wed, 26 May 2010 16:48:21 +0000):	Is phoniest even a word?? Lmao
UniqueAfrika (Wed, 26 May 2010 16:50:07 +0000):	@viceeeVERSA is such a hater she kno she loves my swag. U aint got to lie G, u aint got to lie. Lmaooo
UniqueAfrika (Wed, 26 May 2010 17:15:51 +0000):	@NJGuttah lol. My phone was fucked up too. But u wouldn't kno cuz u don't fuck with me anymore
UniqueAfrika (Wed, 26 May 2010 17:16:21 +0000):	@20thStreetBully** lol I'm dead ass
UniqueAfrika (Wed, 26 May 2010 18:36:21 +0000):	@NJGuttah ** idk I will have to think about something. Leave my boo alone
UniqueAfrika (Wed, 26 May 2010 19:12:41 +0000):	@RealImage ** I kno that, that's why I said come fuck with sprint #duhhhhh
UniqueAfrika (Thu, 27 May 2010 02:48:54 +0000):	&quot;@BabyAfrica24: I havin so much fun rite now!!!!! I'm at my prom!!!! CLASS OF 2010!!!!!!! NEWARK TECH....** YAY!!!!!!!! Party it up!!&quot;
UniqueAfrika (Thu, 27 May 2010 03:26:34 +0000):	Watching I am legend #goodmovie
UniqueAfrika (Thu, 27 May 2010 03:41:15 +0000):	Lmaoooooo mia is too funny
UniqueAfrika (Thu, 27 May 2010 03:43:35 +0000):	&quot;Everytime he come around my london bridge be coming down.&quot;
UniqueAfrika (Thu, 27 May 2010 03:53:12 +0000):	&quot;@MrzSolovely: Those who fly solo often have the strongest wings!&quot;** trueeee
UniqueAfrika (Thu, 27 May 2010 04:02:10 +0000):	&quot;@Djomna: #LikeIsaidBefore geminis run everything&quot;** yes we do
UniqueAfrika (Thu, 27 May 2010 04:39:27 +0000):	And I'm out the door.
UniqueAfrika (Thu, 27 May 2010 04:48:29 +0000):	People love calling me with bs. Damn I'm slipping. Too slick for my own good tho.
UniqueAfrika (Fri, 28 May 2010 05:32:47 +0000):	&quot;@RealImage: #WhenIWasAFreshMen is when I met @UniqueAfrika &amp; has been my best since...that is all&quot;
UniqueAfrika (Fri, 28 May 2010 15:48:04 +0000):	So imma be highly fuccin upset if I don't get like 2 followers. Lmao
UniqueAfrika (Fri, 28 May 2010 15:51:07 +0000):	I did some sit ups today its working cuz I can feel the burn. I need to loose this little pudge I got
UniqueAfrika (Fri, 28 May 2010 15:52:07 +0000):	@Yazzi_B make sure u bring me back a souvenir back from MIA
UniqueAfrika (Fri, 28 May 2010 15:56:02 +0000):	@ItsEasyBaby** I kno. But does that shit really work??
UniqueAfrika (Fri, 28 May 2010 15:57:37 +0000):	Favorite rappers in order. Jay Z, fab, jeezy and of course rick ross. #random lol
UniqueAfrika (Fri, 28 May 2010 16:02:15 +0000):	Some of these rappers don't need to be rappers. They need to get a new occupation.
UniqueAfrika (Fri, 28 May 2010 16:04:25 +0000):	Like david banner and flo rida need to be a fitness instructor. Wen I look at them all I see is gym and weights lmao
UniqueAfrika (Fri, 28 May 2010 16:15:31 +0000):	&quot;@OuttaLeftField: I'm glad its not her birthday anymore, she was getting on my nerves&quot;*** lmaooo who??
UniqueAfrika (Fri, 28 May 2010 16:21:44 +0000):	Lol @NJGuttah is such a hater. lmao. He stay hating on my boo rick ross
UniqueAfrika (Fri, 28 May 2010 16:23:03 +0000):	I remember I was telling @ANTSKILLZ to get a twitter a couple of months ago he like &quot;no for wat its corney&quot; but now look at him
UniqueAfrika (Fri, 28 May 2010 16:23:30 +0000):	He can't stay off. Lmao smh
UniqueAfrika (Fri, 28 May 2010 16:40:16 +0000):	@NJGuttah lmao whatever
UniqueAfrika (Fri, 28 May 2010 16:55:51 +0000):	I swear birdman is the wackest rapper alive. Wtf. I don't kno y people put him on their tracks. #Ultimatefail.
UniqueAfrika (Fri, 28 May 2010 16:57:37 +0000):	@NJGuttah from now on we not goin call him rick ross anymore. His name is &quot;big sexy&quot; lol
UniqueAfrika (Fri, 28 May 2010 16:59:57 +0000):	So word on the streets is that @iHateKatStacks got smacked. Damn I'm not condoning wat the person did. Put u reap wat u sow
UniqueAfrika (Fri, 28 May 2010 17:01:05 +0000):	@NJGuttah he talk about that shit all day cuz he got it.
UniqueAfrika (Fri, 28 May 2010 17:07:46 +0000):	Lol I kno cuz&quot; big sexy&quot; is #niceeeeee @NJGuttah lmao
UniqueAfrika (Fri, 28 May 2010 17:11:25 +0000):	BME click in lil Jon voice lmaoooo. Wat happened to him
UniqueAfrika (Fri, 28 May 2010 17:17:47 +0000):	Is it just me or does twista says astonishing in every rap song. Lol
UniqueAfrika (Fri, 28 May 2010 18:08:57 +0000):	&quot;@mZladyclassy: He betta b making a million dollars for dat movie&quot;** lmao same shit I said. He better win an oscar too
UniqueAfrika (Fri, 28 May 2010 18:13:11 +0000):	&quot;Take off&quot; this my shit.
UniqueAfrika (Sat, 29 May 2010 05:56:18 +0000):	I just saw the video of @iHateKatStacks damn that was definitely some sucka ass move. I feel bad as hell. #Ultimatefail
UniqueAfrika (Sat, 29 May 2010 05:58:04 +0000):	I kno I said she deserved it but after seeing that shit I take it back. Nobody deserves to be smacked like that. Wtf
UniqueAfrika (Sat, 29 May 2010 06:01:11 +0000):	Any nigga that put his hands on a female is a bitch ass nigga. Use that energy into hitting another nigga not a female.
UniqueAfrika (Sat, 29 May 2010 15:21:23 +0000):	Headache. So fuccin upset
UniqueAfrika (Sat, 29 May 2010 16:25:14 +0000):	Where is @RealImage at??. Lmaoooooooooooo.
UniqueAfrika (Sat, 29 May 2010 21:50:07 +0000):	&quot;@ItsEasyBaby: Where the party at 2night?!?!?&quot;** redzone
UniqueAfrika (Sat, 29 May 2010 21:51:15 +0000):	&quot;@mZladyclassy: I dnt understand dis my fone is off butt I kan still tweet. Twitter really loves me..&quot;** t mobile trynna play u
UniqueAfrika (Sat, 29 May 2010 21:58:28 +0000):	&quot;@mZladyclassy: I dnt understand dis my fone is off butt I kan still tweet. Twitter really loves me..&quot;**yea they trynna play u lmao
UniqueAfrika (Sat, 29 May 2010 22:12:05 +0000):	&quot;@ItsEasyBaby: @UniqueAfrika ight so ill pay 4 u 2 get in n u pay 4 me&quot;** lol bbm talk to the hand sign
UniqueAfrika (Sun, 30 May 2010 02:58:51 +0000):	Damn this game is getting good.
UniqueAfrika (Sun, 30 May 2010 03:01:26 +0000):	I'm not really a laker fun I'm only watching it cuz of @BabyAfrica24. But its a good game tho.
UniqueAfrika (Sun, 30 May 2010 03:19:29 +0000):	&quot;@RepoDon: #STFU RT @UniqueAfrika Damn this game is getting good&quot;** no u stfu
UniqueAfrika (Sun, 30 May 2010 03:20:37 +0000):	Damn kobe is #niceeeeee. I don't like him tho.
UniqueAfrika (Sun, 30 May 2010 03:26:19 +0000):	Lakers won. Whatever. Is still was a good game. Big ups to the suns.
UniqueAfrika (Sun, 30 May 2010 04:09:53 +0000):	&quot;@mbprincess: Not feelin loved..&quot;** this is exactly how I feel rite now lol
UniqueAfrika (Sun, 30 May 2010 04:32:07 +0000):	I hate wen I kno wtf I'm talking about and a muthafucker trynna tell me otherwise. Like do I look stupid to u. Ughhh.
UniqueAfrika (Sun, 30 May 2010 04:42:29 +0000):	&quot;@prinban: @UniqueAfrika chill lol don't kill them&quot;**lol I'm trying not to
UniqueAfrika (Sun, 30 May 2010 04:43:29 +0000):	&quot;@NJGuttah: Fuck him I'm 1st he aint shit he can't even pay his child support lol @UniqueAfrika&quot;** what u mean Mia is good. Lmao
UniqueAfrika (Sun, 30 May 2010 04:45:00 +0000):	So my bday is in 11 more days. I'm still waiting for that text to tell me where I'm gonna have fun at with my girls
UniqueAfrika (Sun, 30 May 2010 04:46:17 +0000):	I bet the person forgot about lil ole me. #Subliminaltweet
UniqueAfrika (Sun, 30 May 2010 08:50:34 +0000):	Now I'm up ughh. Should have just put my phone on silence wtf
UniqueAfrika (Sun, 30 May 2010 15:59:34 +0000):	@mZladyclassy call me
UniqueAfrika (Mon, 31 May 2010 02:55:43 +0000):	@mZladyclassy I will tell u and @RealImage to come thru but I don't kno wen the cops shutting this ish down.
UniqueAfrika (Mon, 31 May 2010 17:07:45 +0000):	RT @iStanie: i want spongebob ice cream... or maybe Dora**lmaooo that's some shit mia will say
UniqueAfrika (Mon, 31 May 2010 20:12:57 +0000):	Damn this girl on tyra is clearly beautiful but she said she doesn't think so. So she have unprotected sex and put naked pics on my space
UniqueAfrika (Tue, 01 Jun 2010 16:53:55 +0000):	That @ChadPIFF song&quot; meant to&quot; be is stuck in my fuccin head. Lol. @RealImage I need my fuccin cd.
UniqueAfrika (Tue, 01 Jun 2010 16:54:47 +0000):	So my grandma got a new favorite person. It use to be @RealImage but now is @viceeeVERSA. Lmao.
UniqueAfrika (Tue, 01 Jun 2010 16:55:45 +0000):	@RealImage don't play with me. Don't make me slide thru and fuck ur as up. Lmao
UniqueAfrika (Tue, 01 Jun 2010 17:02:56 +0000):	@RealImage lmao yea. She said if u still want her to cook she got u tho. She bipolar.
UniqueAfrika (Tue, 01 Jun 2010 17:03:57 +0000):	RT @viceeeVERSA: @UniqueAfrika lols word !! i fucks w/ her yooo !** u get on my nerves. Lmao
UniqueAfrika (Tue, 01 Jun 2010 17:11:33 +0000):	RT @iStanie: @RealImage LMAOOOO!!! i c u tryna go in on @viceeeVERSA!!!** lmaooooo word. @RealImage always talking shit.
UniqueAfrika (Tue, 01 Jun 2010 17:12:07 +0000):	RT @viceeeVERSA: lmfaoo chillllllll @RealImage son me &amp; @UniqueAfrika grams will bless you in , just say word !** lmfaoooo
UniqueAfrika (Tue, 01 Jun 2010 17:16:50 +0000):	9 more days till I turn 20. Lol
UniqueAfrika (Tue, 01 Jun 2010 17:19:23 +0000):	Yo I think is so fuccin rude wen a muthafucker stare and don't say shit. Shit makes me so uncomfortable. Ugh.
UniqueAfrika (Tue, 01 Jun 2010 17:20:09 +0000):	RT @_VeniVediVici_: People must think this library is the student center. Or something** lmaoooo u mad. Cuz I'm older. It kool.
UniqueAfrika (Tue, 01 Jun 2010 17:22:13 +0000):	Listening to wayne &quot;Kobe bryant&quot;
UniqueAfrika (Tue, 01 Jun 2010 17:23:23 +0000):	RT @_VeniVediVici_: @UniqueAfrika lol not mad...jus disappointed... :-p** u be aight youngin lmao
UniqueAfrika (Tue, 01 Jun 2010 17:27:50 +0000):	RT @_VeniVediVici_: @UniqueAfrika ohhhhh shit lol...check you outtt!! Ok ok...u got it** lmaooo
UniqueAfrika (Tue, 01 Jun 2010 17:32:11 +0000):	So after staring for about 30 minutes he asks me wat my name is. Lmao clown that was the first thing u should have asked me
UniqueAfrika (Tue, 01 Jun 2010 17:34:11 +0000):	RT @_VeniVediVici_: @UniqueAfrika ur still a youngin to me tho..shorty lmbboo** lol whatever.
UniqueAfrika (Tue, 01 Jun 2010 17:39:42 +0000):	#np jay Z &quot;December 4th&quot; I love this song
UniqueAfrika (Tue, 01 Jun 2010 19:35:59 +0000):	RT @lilduval: This girl gon tell me &quot;u only call me when your bored&quot; ahhhhh duh why would I call u when I'm busy?** lmaoooo
UniqueAfrika (Tue, 01 Jun 2010 19:37:50 +0000):	RT @mbprincess: This nigga mad as hell cuz I don't wanna talk to him.. He been wearin the same clothes for three (cont) http://tl.gd/1k7shn
UniqueAfrika (Tue, 01 Jun 2010 20:22:08 +0000):	How do u delete ur bbm conversation without deleting the person.
UniqueAfrika (Tue, 01 Jun 2010 20:31:03 +0000):	RT @RealImage: @UniqueAfrika u left ur lip gloss at my house** bring it to the job
UniqueAfrika (Tue, 01 Jun 2010 20:33:33 +0000):	@damnnadriane and @OuttaLeftField thanks u guys.
UniqueAfrika (Wed, 02 Jun 2010 01:25:53 +0000):	RT @_VeniVediVici_: Hmmm wat am I gonna eat for lunch 2moro????** lmaooo that my grandma all the day.
UniqueAfrika (Wed, 02 Jun 2010 01:31:10 +0000):	Me and @RealImage did some bs. Damn I hope we don't get caught. Sometimes I'm happy she spell her name like that. Top fuccin secret lmao
UniqueAfrika (Wed, 02 Jun 2010 01:33:52 +0000):	I aint mad ma I c u on ur bummy swag
UniqueAfrika (Wed, 02 Jun 2010 01:34:24 +0000):	RT @damnnadriane: @UniqueAfrika lmaoooo aight u got me back { claps hands } its about time . Lol** lmaooooo
UniqueAfrika (Wed, 02 Jun 2010 01:45:28 +0000):	RT @mZladyclassy: RT @RevRunWisdom: A girl looks 2 be fly 4 every1,, a classy lady looks 2 be beautiful 4 that special ONE
UniqueAfrika (Wed, 02 Jun 2010 01:47:40 +0000):	Let me be the one who can take u from the things you've seen.
UniqueAfrika (Wed, 02 Jun 2010 01:48:08 +0000):	I won't hurt u I'm down for u baby
UniqueAfrika (Wed, 02 Jun 2010 02:13:03 +0000):	Wtf it looks like someone punch me in the eye.
UniqueAfrika (Wed, 02 Jun 2010 02:17:45 +0000):	RT @TD973: play this SONG: @ChadPIFF ' Meant to Be ft Kev Rock ' http://twiturm.com/sgux6** that's my (cont) http://tl.gd/1kbjl8
UniqueAfrika (Wed, 02 Jun 2010 02:22:42 +0000):	RT @damnnadriane: RT @UniqueAfrika: Wtf it looks like someone punch me in the eye. « Who beat u up this time ? (cont) http://tl.gd/1kbm2g
UniqueAfrika (Wed, 02 Jun 2010 02:23:52 +0000):	&quot;Ooooo baby wen u look at me ------------- @RealImage finish it for me. Lmao
UniqueAfrika (Wed, 02 Jun 2010 03:40:28 +0000):	Nite nite twitter studying for my finals tomorrow. Wish me luck. Class at 8. Smh. Muahhhhhhhh.
UniqueAfrika (Wed, 02 Jun 2010 15:37:08 +0000):	RT @BlipBeven: #ifhiphopwashighschool @iamdiddy would be the gym teacher &quot;lets's go let's work*4 lmaoooo word
UniqueAfrika (Wed, 02 Jun 2010 15:39:46 +0000):	So I just took my finals I got a 86. I'm a little disappointed I thought I was getting a hundred #nolie
UniqueAfrika (Wed, 02 Jun 2010 16:24:19 +0000):	RT @RealImage: #Fact my mom is Reali &quot; Intelligent&quot;** yes she is.
UniqueAfrika (Wed, 02 Jun 2010 16:24:44 +0000):	RT @viceeeVERSA: im really tryna figure out why &amp; where the fck they gon put a pool at in abyss .** meeee tooo
UniqueAfrika (Wed, 02 Jun 2010 20:05:02 +0000):	@OXjuiicyOX cute pic. Its about damn time. Lol
UniqueAfrika (Wed, 02 Jun 2010 20:18:51 +0000):	RT @OXjuiicyOX: @UniqueAfrika Lmfaaoo ok thanx bitch** lol NP
UniqueAfrika (Wed, 02 Jun 2010 20:53:44 +0000):	RT @RealImage: Thinkin abt havin another SLEEP OVER** just kno me and mia on the bed #thats all
UniqueAfrika (Thu, 03 Jun 2010 00:49:19 +0000):	RT @BlipBeven: Bitches stress niggas out** niggas stress bitches out
UniqueAfrika (Thu, 03 Jun 2010 03:34:58 +0000):	So I get in the house and my bro just told me mia told him to stfu. Wtf??. I just asked mia and she goes &quot;mommy I'm sorry I didn't say that&quot;
UniqueAfrika (Thu, 03 Jun 2010 03:42:51 +0000):	RT @FueleDbyMannY: @UniqueAfrika noo take that back she didnt say that your brother is evil!!** lmaooooo
UniqueAfrika (Thu, 03 Jun 2010 04:04:13 +0000):	RT @viceeeVERSA: #random i really do have a nasty ass attitude when im hungry , @uniqueafrika pointed that out (cont) http://tl.gd/1l1igm
UniqueAfrika (Thu, 03 Jun 2010 04:06:12 +0000):	@viceeeVERSA so everybody is getting in that pool?? I don't understand wtf is goin on #blankstare rite now
UniqueAfrika (Thu, 03 Jun 2010 15:39:13 +0000):	Man shut yall sentimental asses up. @viceeeVERSA @RealImage @iStanie @dimelovely and @damnnadriane
UniqueAfrika (Thu, 03 Jun 2010 18:34:02 +0000):	That nap was great. About to get ready for work
UniqueAfrika (Thu, 03 Jun 2010 18:41:37 +0000):	So @RealImage is at a museum with this nigga. So u kno I went look at his pic. Two words #nocomments wtf?? Lmaooooo
UniqueAfrika (Thu, 03 Jun 2010 18:45:29 +0000):	@viceeeVERSA http://tweetphoto.com/25386630 ** wtf is up with that blurry ass pic. All I c is fuccin teeth. Smh. Lmao
UniqueAfrika (Thu, 03 Jun 2010 18:50:46 +0000):	RT @viceeeVERSA: @UniqueAfrika lmaoo its weird but i like it , &amp; you workin 2day nigka ?.** yea at my other job that I told u about
UniqueAfrika (Thu, 03 Jun 2010 18:55:49 +0000):	I really need to get a license I'm about to be 20 with a permit for almost two yrs. That's some basic shit.
UniqueAfrika (Thu, 03 Jun 2010 21:01:22 +0000):	@MrCleanKixJETS** u and @njGuttah need to stop talking about my boo. Thanks.
UniqueAfrika (Thu, 03 Jun 2010 21:09:02 +0000):	@MrCleanKixJETS ** lmaoooo he is the boss boss boss
UniqueAfrika (Thu, 03 Jun 2010 21:10:14 +0000):	Idk y light skin men are attracted to me. I like em tall and dark. Wtf??
UniqueAfrika (Fri, 04 Jun 2010 01:30:09 +0000):	Just got home from work. Wats up for the nite??
UniqueAfrika (Fri, 04 Jun 2010 01:47:07 +0000):	Look at me guys. #throwback pic. My young days in Africa http://tweetphoto.com/25446579
UniqueAfrika (Fri, 04 Jun 2010 02:25:20 +0000):	This bake Ziti is on point
UniqueAfrika (Fri, 04 Jun 2010 02:30:20 +0000):	Mia is stuffing her face. She said &quot;mommy this is soo good&quot; lmao http://tweetphoto.com/25452478
UniqueAfrika (Fri, 04 Jun 2010 02:31:31 +0000):	@WillySkilly http://tweetphoto.com/25446579 ** lmaooo u be knowing
UniqueAfrika (Fri, 04 Jun 2010 02:38:42 +0000):	RT @WillySkilly: @UniqueAfrika I think my aunt even use to sell em...** lol I bet she did.
UniqueAfrika (Fri, 04 Jun 2010 13:47:13 +0000):	@RealImage good job for teaching u kno how to dress. He impress me everyday.
UniqueAfrika (Fri, 04 Jun 2010 13:48:41 +0000):	O good morning.
UniqueAfrika (Fri, 04 Jun 2010 13:48:41 +0000):	O good morning.
UniqueAfrika (Fri, 04 Jun 2010 13:49:48 +0000):	So I'm about to break the news to my manager and tell him after tomorrow I'm not working there anymore. I have been working there for
UniqueAfrika (Fri, 04 Jun 2010 13:50:58 +0000):	Alomst two years. It time for a change a good change. As much as u wanna tell him to suck my dick I can't. I don't wanna burn my bridges tho
UniqueAfrika (Fri, 04 Jun 2010 13:52:42 +0000):	I had a dream the @RealImage bagged shaq big ass at a basketball game. He was gonna fly us somewhere to c one of his games.
UniqueAfrika (Fri, 04 Jun 2010 13:53:41 +0000):	The crazy thing was @RealImage dumb ass forgot her #. O I almost forgot in the dream her ass was fat as hell. Lmaooooooo.
UniqueAfrika (Fri, 04 Jun 2010 14:00:44 +0000):	RT @iStanie: @UniqueAfrika babes!! u got another job??** u already kno. IMma give deatails wen I c u
UniqueAfrika (Fri, 04 Jun 2010 14:13:05 +0000):	RT @ItsEasyBaby: &quot;@Sexstrology: Never tell a #Gemini they are superficial&quot;
UniqueAfrika (Fri, 04 Jun 2010 14:18:20 +0000):	@RealImage no I don't kno how u do. Lmao
UniqueAfrika (Fri, 04 Jun 2010 14:19:17 +0000):	RT @TD973: S/O to @ChadPIFF &amp; @damnnadriane #FF [The Genius and the Babe]** that's riteeeeee lol
UniqueAfrika (Fri, 04 Jun 2010 14:20:55 +0000):	RT @ChadPIFF: 4 the record #FF @iHateKatStacks and the genius behind her marketing** lmao u kno I follow her all day
UniqueAfrika (Fri, 04 Jun 2010 14:22:13 +0000):	RT @damnnadriane: #FF the girls @UniqueAfrika @RealImage @viceeeVERSA @iStanie @OXjuiicyOX @dimelovely
UniqueAfrika (Fri, 04 Jun 2010 14:23:21 +0000):	RT @ChadPIFF: S/o To my brotha @mikkeemula ... best rapper in Essex county #Realtalk** nice looking too #imjustsayin lol
UniqueAfrika (Fri, 04 Jun 2010 14:31:49 +0000):	RT @ThaRealNJGuttah: #ff and S/O to @UniqueAfrika** awwww thanks babes muahhhhh lol
UniqueAfrika (Fri, 04 Jun 2010 14:37:57 +0000):	RT @iStanie: @UniqueAfrika u kno we start closin at 10:30 now?** yea I kno I was there wednesday.
